#YEAR;RANKING;TEAM;POINTS;WIN;DRAW;LOSE;GOAL-BALANCE;GOALS-PRO;GOALS-AGAINST;MATCHES;PERFORMANCE-SCORE
2005;1;Corinthians/SP;81;24;9;9;28;87;59;42;64.30%
2005;2;Internacional/RS;78;23;9;10;23;72;49;42;61.90%
2005;3;Goiás/GO;74;22;8;12;17;68;51;42;58.70%
2005;4;Palmeiras/SP;70;20;10;12;16;81;65;42;55.60%
2005;5;Fluminense/RJ;68;19;11;12;9;79;70;42;54.00%
2005;6;Atlético/PR;61;18;7;17;9;76;67;42;48.40%
2005;7;Paraná/PR;61;17;10;15;8;59;51;42;48.40%
2005;8;Cruzeiro/MG;60;17;9;16;1;73;72;42;47.60%
2005;9;Botafogo/RJ;59;17;8;17;1;57;56;42;46.80%
2005;10;Santos/SP;59;16;11;15;-3;68;71;42;46.80%
2005;11;São Paulo/SP;58;16;10;16;10;77;67;42;46.00%
2005;12;Vasco/RJ;56;15;11;16;-10;74;84;42;44.40%
2005;13;Fortaleza/CE;55;16;7;19;-6;58;64;42;43.70%
2005;14;Juventude/RS;55;15;10;17;-6;66;72;42;43.70%
2005;15;Flamengo/RJ;55;14;13;15;-4;56;60;42;43.70%
2005;16;Figueirense/SC;53;14;11;17;-7;65;72;42;42.10%
2005;17;São Caetano/SP;52;14;10;18;-6;54;60;42;41.30%
2005;18;Ponte Preta/SP;51;15;6;21;-17;63;80;42;40.50%
2005;19;Coritiba/PR;49;13;10;19;-9;51;60;42;38.90%
2005;20;Atlético/MG;47;13;8;21;-5;54;59;42;37.30%
2005;21;Paysandu/PA;41;12;5;25;-29;63;92;42;32.50%
2005;22;Brasiliense/DF;41;10;11;21;-20;47;67;42;32.50%
